State,year,Served,InCare_Sep30,Entered,Exited,Waiting_Adoption,parental_rights_terminated,adopted
Alabama,FY 2009,9677,6178.999999999995,3080.000000000002,3498.0000000000077,1475,882.0000000000028,638.0000000000018
Alabama,FY 2010,8118.999999999999,5349.999999999972,3063,2769.9999999999914,1271.0000000000014,756.9999999999932,605.9999999999959
Alabama,FY 2011,8394.99999999999,5252.999999999992,3256.999999999999,3142.9999999999955,1297.0000000000023,701.0000000000003,446.99999999999926
Alabama,FY 2012,7907,4561.000000000001,2763.000000000007,3346.0000000000073,1155.9999999999998,542.9999999999993,587.0000000000031
Alabama,FY 2013,7322.000000000005,4434.999999999998,3040.999999999994,2888.000000000006,1083.999999999996,615.000000000001,532.0000000000015
Alabama,FY 2014,7520,4525.9999999999845,3191.9999999999973,2994.0000000000027,1043.9999999999973,572.9999999999982,544.0000000000009
Alabama,FY 2015,7989,4745.000000000016,3604.9999999999995,3243.999999999999,1020.0000000000042,460.9999999999982,511.9999999999993
Alabama,FY 2016,8380.999999999993,5053.0000000000055,3771.9999999999964,3328.999999999996,1074.9999999999955,420.9999999999994,502.99999999999926
Alabama,FY 2017,9012.000000000004,5630.999999999988,4095.000000000012,3381.9999999999964,1268.0000000000002,533.0000000000028,504.00000000000057
Alabama,FY 2018,9512,5929.999999999982,4062.000000000004,3582.000000000009,1346.0000000000039,514.000000000003,712.0000000000011
Alaska,FY 2009,2845,1877.0000000000025,916.0000000000013,968.0000000000018,719.9999999999981,407.00000000000034,330.00000000000097
Alaska,FY 2010,2750,1791.0000000000007,887.0000000000019,959.0000000000013,696.0000000000001,380.9999999999986,336.000000000001
Alaska,FY 2011,2669,1835.0000000000005,913.0000000000014,834.0000000000006,719.9999999999982,389,292.9999999999998
Alaska,FY 2012,2727,1853.9999999999975,916,873.0000000000016,804.9999999999999,386.9999999999996,308.99999999999983
Alaska,FY 2013,2842,1982.0000000000002,1017.9999999999991,860.0000000000017,865.9999999999986,399.0000000000012,328.00000000000006
Alaska,FY 2014,3109,2189.9999999999945,1162.0000000000016,919.0000000000001,703.9999999999991,366.0000000000008,366.99999999999864
Alaska,FY 2015,3659,2652.9999999999977,1512.9999999999955,1005.9999999999978,782.9999999999995,356.00000000000045,357.0000000000011
Alaska,FY 2016,3864,2819.999999999999,1335.9999999999957,1044.0000000000005,947.0000000000001,424.99999999999994,313.00000000000006
Alaska,FY 2017,4107,2766.0000000000036,1328.0000000000016,1340.9999999999989,1039.0000000000016,401.0000000000011,366.0000000000007
Alaska,FY 2018,4040,2792.0000000000027,1337.0000000000036,1247.999999999997,1003.9999999999998,384.00000000000057,354.00000000000045
Arizona,FY 2009,16929,9423.000000000033,7526.000000000017,7505.999999999983,2792.0000000000005,2264.999999999996,1705.9999999999925
Arizona,FY 2010,17110,9929.999999999909,7891.000000000012,7179.999999999956,2672.9999999999995,2174.0000000000036,2044.9999999999864
Arizona,FY 2011,18142,10883.000000000016,8488.00000000002,7259.00000000002,2821.9999999999773,2220.000000000005,2275.0000000000123
Arizona,FY 2012,21267,13460.999999999996,10662.999999999998,7806.000000000035,2914.0000000000027,2299.000000000005,2275.000000000009
Arizona,FY 2013,23854,14399.000000000031,10790.00000000009,9455.00000000002,3578.9999999999836,2692.0000000000064,2522.0000000000095
Arizona,FY 2014,26253,16246.000000000084,12209.00000000003,10007.00000000005,3641.0000000000377,2841.0000000000005,3089.999999999981
Arizona,FY 2015,28557,17738.00000000013,12722.00000000007,10819.00000000004,4059.9999999999895,3005.999999999995,3236.0000000000205
