created_date,tweet_text,lang
2019-12-06 12:29:36,Not a dry eye: 5-year-old #Michigan #boy's #kindergarten classmates turn out to witness his #adoption… https://t.co/bLFgU5UFlE,en
2019-12-06 15:43:23,"GMA getting it right, again! Positive foster care story telling is so important. #gma #adoption #fostercare… https://t.co/jt2DkVJVUu",en
2019-12-02 12:10:33,RT @more_plate: Daisy Chains https://t.co/Bi9yTlDYPq #adoption #daisies #daisychains #emotions #fostercare #fosterparenting #love,cy
2019-12-07 16:33:00,"At a time when more and more religious folks are heeding the call to foster, states are looking for ways to keep th… https://t.co/ojk68lhPIy",en
2019-12-02 12:56:33,RT @missmyhappybird: Adoption by strangers is not the only or even the best option for children in fostercare system. Adoption by strangers…,en
2019-12-05 00:51:54,Thank you @heartgallerytpa for inviting me to be your guest this evening and the opportunity to see your amazing di… https://t.co/insDgYHWwc,en
2019-12-02 02:44:54,RT @AdoptUSKids: This recorded podcast from Creating a Family can help parents know what to expect and how they can help their child with t…,en
2019-12-06 00:25:23,"I love this so much. Having become a father myself through Quebec’s #fostercare to #adoption programme, I know just… https://t.co/E2Q1P93DKU",en
2019-11-29 00:10:28,"RT @LifesongOrphans: Happy Thanksgiving from the Lifesong family! We are thankful for you.

#Thanksgiving #HappyThanksgiving #fostercare #o…",en
2019-12-01 07:28:06,"@FosterCareToday THANK YOU for sharing my blog post 
https://t.co/XU1BzUiE6y 
#fostercare #adoption #transracialadoption",en
2019-12-07 05:52:28,Remember to set Lonestar Fostering Connections as your AmazonSmile charity ⭐️ you can help us purchase much needed… https://t.co/BPD0DcfgLs,en
2019-12-06 14:24:36,"I'm about to adopt my 7th and 8th child via fostercare.  someone write 
@TheEllenShow
 for me. I'm gonna need a van… https://t.co/cANxvDOS9s",en
2019-12-04 20:48:55,"RT @AdoptUSKids: More than 120,000 children and youth in foster care need permanent families. Learn more about foster adoption today.  http…",en
2019-11-28 19:09:41,"Happy Thanksgiving from our family to yours!🦃💛

#extraordinaryfamilies #fostercare #fosterparents #fosterkids… https://t.co/9EdxCvTjMM",en
2019-12-05 11:25:30,"RT @AdoptUSKids: In this brand new podcast series from Confessions of an Adoptive Parent, they'll walk you through key how-to’s when it com…",en
2019-12-01 20:10:34,"RT @That_BW: Both my daughters were fostered and loved by other parents before  being adopted - Truly selfless love 💕 
#FosterCare 
#Adopti…",en
2019-12-01 17:24:33,Adoption by strangers is not the only or even the best option for children in fostercare system. Adoption by strang… https://t.co/gVKK9PBR83,en
2019-12-03 18:15:29,RT @nwae: A day for community and support – we always appreciate #GivingTuesday. Consider supporting adoption from foster care as well as o…,en
2019-11-29 15:45:25,"Adoption is an honored way to create or add to a #family, and Judaism has a long and treasured history of people ra… https://t.co/hiGx66yyqa",en
2019-12-02 21:46:48,@merlinspants07 @Muireannin1 @julsie75 @neithskye @Downeyangel @IzziDABELL @AbortionChat @evamckendrick1… https://t.co/itWBkNOaOD,en
2019-12-02 20:05:06,"RT @DTFA: Maya and Hannah spent 6 years in and out of #fostercare as their parents battled addiction. In 2017, they were adopted by Dana an…",en
2019-12-03 06:06:39,RT @AdoptUSKids: “Staying focused on positive outcomes and on the good that I can do keeps me doing this work.” -Our latest Outstanding Cas…,en
2019-11-29 16:06:56,RT @imo_latest: Conversations with care leavers: staying in touch with family members https://t.co/m6IIK19NKU #CEPconversations #adoption #…,en
